fiscal_year,revenue_rm_m,ebitda_rm_m,net_profit_loss_rm_m,reporting_basis,note
2020,3100,,-5900,whole_group,COVID border closures; near-total fleet grounding
2021,1700,-1100,-3800,whole_group,Deepest pandemic year; AirAsia X PN17 restructuring proposed
2022,6600,361,-2620,whole_group,Recovery begins; returned to quarterly profit in 4Q2022
2023,14800,2000,508,whole_group,First full-year group net profit since the pandemic
2024,,,,segment_split_begins,Group began reporting aviation and non-aviation as separate segments ahead of the planned aviation divestment; see notes in Notebook 2 for the separate segment figures
2025,3390,443,171,non_aviation_only,"Aviation business disposed to AirAsia X Berhad, completed 3 Dec 2025; NOP (Net Operating Profit) not directly comparable to net profit/loss in earlier rows"
